Title,Description,Link,Value / Priority,Density,Button,Status,Notes
Action Item: How to become indistractable,We break down Nir Eyal's system for turning down the noise and getting work done,Link →,,,model,,
CEO By Day. Internet Sleuth By Night.,"How entrepreneur Noah Brier amassed a 14,000+ note research archive, and uses it to run his company and improve his life",Link →,,,model,,
The Quest to Be Good at Everything,The co-founder of Bark reveals the systems he uses to manage two growing businesses and a family,Link →,,,model,,
How Naveen Keeps Track,"The co-founder of Foursquare tells us about the systems he uses to start companies, remember what he reads, and prioritize his time",Link →,,,model,,
Why Ceasar Bautista Wrote His Own Personal Encyclopedia,,Link →,,,model,,
How a Jeopardy! Champion Remembers Everything,One of Jeopardy's winningest players talks about how he studied for the show and how he organizes his life,Link →,,,model,,
Kevin Yien's Calendar Design Template,,Link →,,,model,,
Thinking Physically with Yancey Strickler,How the former co-founder and CEO of Kickstarter wrote and researched his new book,Link →,,,model,,
How To Run Your Life Inside of Notion,Marie Poulin gives a tour through the most impressive Notion setup I've ever seen,Link →,,,model,,
"Andy Sparks, CEO of Holloway, on Living a More Conscious Life","We talk about using Notion as an operating system for work, escaping life's pinball machine, and note-taking as creating a relationship with your future self",Link →,,,model,,
How A Pro Soccer Player Turned VC Stays Organized,"We talk about how Cameron Porter takes notes on meetings and podcasts, how he sets personal OKRs, and about being world-class at multiple things",Link →,,,model,,
Marie Poulin's Life Planning Notion Template,,Link →,,,model,,
The Notion Template Behind One of Our Most Popular Posts,,Link →,,,model,,
"The Man Who Reads 1,000 Articles a Day",How Robert Cottrell finds the absolute best writing on the web,Link →,,,model,,
High-Output Project Management in Notion,"A recording, a template, and a course discount",Link →,,,model,,
Inside the Mind of a Productivity Master,Tiago Forte reveals his contrarian takes on everything from how he takes notes to what he does when he falls off his system,Link →,,,model,,
Who Shaan Puri is Becoming,The co-host of the My First Million Podcast reveals his tools for growing into a better version of himself,Link →,,,model,,
Action Item: How to create a network from scratch,Ali Hamed of CoVenture shares his tools for getting to the people who can make a difference,Link →,,,model,,
Nat Eliason is Living in The Matrix,Nat reveals the Roam setup that he uses to run his life,Link →,,,model,,
One VC Wrote An OS for Her Life,"Maria Salamanca shares how she uses Airtable, Notion, and Bear to create a complete system to run her life",Link →,,,model,,
How Productivity Star Thomas Frank Reaches Millions on YouTube,"We pull back the curtain on how he gets things and done, and do a deep dive on his system for making videos",Link →,,,model,,
Productivity for Parents,Square’s Restaurant Product Lead on integrating career and family,Link →,,,model,,
Action Item: How to stop worrying and love Twitter,Visakan Veerasamy on building an audience by making internet friends,Link →,,,model,,
"Action Item: Playing Offense, The 10-10-10 Test, and Blending",Actionable takeaways from Superorganizers interviews,Link →,,,model,,
How to Go Pro as a Creator,John Gannon from GoingVC shares how he made $1mm in revenue as a creator,Link →,,,model,,
Action Item: How to Become a Machine,Nate Berkopec tunes himself like a server—in a surprisingly human way,Link →,,,model,,
Tracking various things,,Link →,,Multiple Playbooks,model,,
Airtable web clipper,,Link →,,,model,,
Grain article on recorded call acction item automation,,Link →,,,model,,
Activating army of investors,,Link →,,,model,,
Mathilde Colin communications playbook,,Link →,,,model,,
Jakob Greenfield Networking,,Link →,,,model,,
Searching tips,,Link →,,,model,,
Recruiting,,Link →,,,model,,
Live doc meetings,,Link →,,,model,,
How to Create a Personal User Guide,,Link →,,,model,,
How to Create a CEO Manual,,Link →,,,model,,
Example App Playbooks from GitLab,,Link →,,,model,,
Sales and partnership playbooks,,Link →,,Multiple Playbooks,model,,
Mailman HQ inbox tips,,Link →,,Multiple Playbooks,model,,
All the hacks playbooks,,Link →,,Multiple Playbooks,model,,
How Levels Does Meetings,,Link →,,,model,,
Almanac CEO Readme,,Link →,,,model,,
How to Hire Your First Designer,,Link →,,,model,,
Marie Poulin's Life Planning Notion Template,,Link →,,,model,,
